commit_count,commit_author
2343,hadley
653,Winston
134,Hadley
133,Thomas
103,Kohske
70,Kohske
69,hadley
67,Claus
63,Jean-Olivier
60,Hiroaki
57,Lionel
50,Dewey
48,Kara
43,Kirill
30,Kohske
27,Brian
21,Mara
20,Jake
17,joran
17,Kohske
17,Dana
14,Josef
12,DanRuderman
11,Jim
10,Hassan
9,thomasp85
9,Thomas
9,Kohske
9,Bob
7,koneill
7,Max
5,boB
5,Victor
5,Toby
5,Tmshn
5,Patrick
5,Noam
4,richierocks
4,hrbrmstr
4,bernie
4,baptiste
4,Willem
4,Sven
4,Sebastian
4,Mine
4,Joran
4,Jeffrey
4,Dennis
4,David
4,Anton
3,veraanadi
3,unknown
3,microly
3,markpayneatwork
3,kohske
3,david
3,Sean
3,Richard
3,Nick
3,Munish
3,Katiedaisey
3,Jason
3,Jan
3,Greg
3,Edzer
2,lindbrook
2,bbolker
2,Zhuoer
2,Will
2,Tomas
2,Steve
2,Sean
2,Mikko
2,Martin
2,Malcolm
2,Luke
2,Kevin
2,Katrin
2,Kamil
2,Joris
2,Jonathan
2,Jeff
2,Ioannis
2,Edward
2,Dylan
2,Didzis
2,Dean
2,David
2,Daniel
2,Dale
2,Connor
2,Chris
2,Cathy
2,Cary
2,Carson
2,Brent
2,Benjamin
2,Barret
2,Anne
2,Anne
2,Ahobert
1,yutannihilation
1,tomschloss
1,timgoodman
1,stefanedwards
1,pbiecek
1,pank
1,mitchelloharawild
1,mikefc
1,metanoid
1,lehy
1,jrnold
1,heckendorfc
1,eliocamp
1,coolbutuseless
1,buyske
1,beckymaust
1,baptiste
1,atusy
1,arilamstein
1,andrasberczi
1,Zach
1,Yihui
1,Wouter
1,Winston
1,Viole
1,Tristan
1,Travis
1,Tom
1,Thomas
1,Thomas
1,Thiyanga
1,Thieffen
1,Thell
1,Teun
1,Tal
1,TJ
1,Suthira
1,Stéphane
1,Steve
1,StefanBRas
1,Sina
1,Shyam
1,Shelmith
1,Seth
1,Ryan
1,Ryan
1,RobertZK
1,Rick
1,Richard
1,Richard
1,Rasmus
1,Priyanga
1,Pierre
1,Philipp
1,Peter
1,Peter
1,Pedro
1,Pavel
1,Paul
1,Paul
1,NikNakk
1,Nick
1,Nicholas
1,Nate
1,Mitchell
1,Mikko
1,Michael
1,Megan
1,Maxim
1,Matthew
1,Matthew
1,Martin
1,Martin
1,Marco
1,Mara
1,Luke
1,Lukas
1,Luciano
1,Kevin
1,Kenny
1,Karsten
1,Karl
1,Karl
1,Justin
1,Jun
1,Joseph
1,Jonathan
1,Jonas
1,Joey
1,Jeroen
1,Jennifer
1,JamesCuster
1,Ista
1,Hugo
1,HughParsonage
1,Hojjat
1,Henrik-P
1,Hendrik
1,Heather
1,Hao
1,Haley
1,Gökçen
1,Guangchuang
1,Greg
1,Greg
1,Frederik
1,Frank
1,Elio
1,Eli-Berkow
1,David
1,David
1,Dariya
1,Dario
1,Daniel
1,Daniel
1,Daniel
1,Dan
1,Claire
1,Chuanxin
1,Christopher
1,Christophe
1,Chris
1,Chester
1,Charlotte
1,Brodie
1,BrianDiggs
1,Brian
1,Brian
1,Bernhard
1,Ari
1,Antoine
1,Anthony
1,Angélica
1,Andrew
1,Andrew
1,Amy
1,Alex
1,Alex
1,Abraham
1,Aaron
